step,value
5,0.6625000238418579
10,0.6499999761581421
15,0.4749999940395355
20,0.612500011920929
25,0.44999998807907104
30,0.675000011920929
35,0.6000000238418579
40,0.550000011920929
45,0.612500011920929
50,0.5375000238418579
55,0.4625000059604645
60,0.5375000238418579
65,0.5874999761581421
70,0.5625
75,0.5625
80,0.574999988079071
85,0.5
90,0.637499988079071
95,0.6625000238418579
100,0.574999988079071
105,0.550000011920929
110,0.7250000238418579
115,0.550000011920929
120,0.550000011920929
125,0.574999988079071
130,0.612500011920929
135,0.5874999761581421
140,0.574999988079071
145,0.5625
150,0.6000000238418579
155,0.625
160,0.625
165,0.5249999761581421
170,0.5625
175,0.512499988079071
180,0.6625000238418579
185,0.5375000238418579
190,0.5625
195,0.5625
200,0.6625000238418579
205,0.5874999761581421
210,0.6000000238418579
215,0.574999988079071
220,0.5874999761581421
225,0.5874999761581421
230,0.5874999761581421
235,0.574999988079071
240,0.550000011920929
245,0.625
250,0.5625
255,0.612500011920929
260,0.5249999761581421
265,0.675000011920929
270,0.512499988079071
275,0.512499988079071
280,0.612500011920929
285,0.5249999761581421
290,0.5625
295,0.5
300,0.675000011920929
305,0.6875
310,0.637499988079071
315,0.5249999761581421
320,0.512499988079071
325,0.574999988079071
330,0.5874999761581421
335,0.5625
340,0.612500011920929
345,0.637499988079071
350,0.5625
355,0.5375000238418579
360,0.625
365,0.6000000238418579
370,0.637499988079071
375,0.6499999761581421
380,0.6266666650772095
