step,value
5,0.5630301833152771
10,0.5193859338760376
15,0.11928413063287735
20,0.873539924621582
25,0.19999511539936066
30,0.5927133560180664
35,1.0008939504623413
40,0.30194905400276184
45,0.29782360792160034
50,0.20247884094715118
55,0.15423598885536194
60,0.09260095655918121
65,0.4099455773830414
70,0.4466433525085449
75,0.008388024754822254
80,0.7619737386703491
85,0.21367502212524414
90,0.5775615572929382
95,0.6425408124923706
100,0.40114808082580566
105,0.8101170659065247
110,0.8811399340629578
115,0.9454485774040222
120,0.6410180926322937
125,0.7028354406356812
130,0.33292698860168457
135,1.4229302406311035
140,0.6294757127761841
145,0.19140784442424774
150,0.8113013505935669
155,0.5951221585273743
160,0.5950978398323059
165,0.3964383602142334
170,0.5682497620582581
175,0.33401161432266235
180,0.8463478088378906
185,0.22444362938404083
190,0.22319790720939636
195,0.8889978528022766
200,0.5588432550430298
205,0.7908443212509155
210,0.4804351329803467
215,0.44089293479919434
220,0.42083826661109924
225,0.481010377407074
230,0.256694495677948
235,0.5508886575698853
240,0.626197338104248
245,0.4983360171318054
250,0.3852479159832001
255,0.7729666829109192
260,0.4240749478340149
265,0.5041390657424927
270,0.301439493894577
275,0.39401522278785706
280,0.696813702583313
285,0.18553447723388672
290,0.24533303081989288
295,0.40913110971450806
300,0.8195468783378601
305,1.0125876665115356
310,0.5625473856925964
315,0.14801025390625
320,0.5030231475830078
325,0.5019654631614685
330,0.28945404291152954
335,0.47999992966651917
340,0.40282949805259705
345,0.8831833004951477
350,0.24986188113689423
355,0.07768968492746353
360,0.5283769369125366
365,0.39979925751686096
370,0.5111128091812134
375,0.5960181355476379
380,0.3300393521785736
