step,time_per_step_s,peak_gpu_memory_gb
1,8.154978513717651,10.972796440124512
2,7.8594746589660645,11.116772174835205
3,7.069681644439697,11.342639923095703
4,10.973617792129517,13.936226844787598
5,11.798001050949097,14.451021671295166
6,8.620850086212158,14.451021671295166
7,10.409276008605957,14.451021671295166
8,9.204668998718262,14.451021671295166
9,8.29515552520752,14.451021671295166
10,9.243367433547974,14.451021671295166
11,10.378138542175293,14.995240211486816
12,10.476178169250488,14.995240211486816
13,9.899959087371826,14.995240211486816
14,7.97571587562561,14.995240211486816
15,9.490180730819702,14.995240211486816
16,8.44299602508545,14.995240211486816
17,9.929776191711426,14.995240211486816
18,8.815667629241943,14.995240211486816
19,10.02447509765625,14.995240211486816
20,12.526750564575195,14.995240211486816
21,8.443570613861084,14.995240211486816
22,9.827373743057251,17.029000759124756
23,9.316437721252441,17.029000759124756
24,7.284528493881226,17.029000759124756
25,10.70015001296997,17.029000759124756
26,8.35110092163086,17.029000759124756
27,10.914571762084961,17.029000759124756
28,11.903303146362305,17.029000759124756
29,9.863756895065308,17.029000759124756
30,7.27171778678894,17.029000759124756
31,9.253193140029907,17.029000759124756
32,8.847686767578125,17.029000759124756
33,6.096062183380127,17.029000759124756
34,12.408786296844482,17.029000759124756
35,9.08052134513855,17.029000759124756
36,9.597283840179443,17.029000759124756
37,7.905686616897583,17.029000759124756
38,9.47227954864502,17.029000759124756
39,9.286412715911865,17.029000759124756
40,8.278743505477905,17.029000759124756
41,9.542545080184937,17.029000759124756
42,8.99232006072998,17.029000759124756
43,8.117355108261108,17.029000759124756
44,8.974762439727783,17.029000759124756
45,7.85776948928833,17.029000759124756
46,9.311250925064087,17.029000759124756
47,10.487762212753296,17.029000759124756
48,8.885246992111206,17.029000759124756
49,8.333852052688599,17.029000759124756
50,9.154499769210815,17.029000759124756
51,6.831855058670044,17.029000759124756
52,8.997616291046143,17.029000759124756
53,6.7004783153533936,17.029000759124756
54,7.524942636489868,17.029000759124756
55,13.451538801193237,17.029000759124756
56,9.416296005249023,17.029000759124756
57,11.770124197006226,17.029000759124756
58,10.384969234466553,17.029000759124756
59,7.114640951156616,17.029000759124756
60,10.514140129089355,17.029000759124756
61,7.688185930252075,17.029000759124756
62,9.04528546333313,17.029000759124756
63,8.174954652786255,17.029000759124756
64,8.868552684783936,17.029000759124756
65,10.194541692733765,17.029000759124756
66,8.838088035583496,17.029000759124756
67,8.988790035247803,17.029000759124756
68,9.386571884155273,17.029000759124756
69,8.689221858978271,17.029000759124756
70,9.106710195541382,17.029000759124756
71,10.433844089508057,17.029000759124756
72,9.014147520065308,17.029000759124756
73,9.697071552276611,17.029000759124756
74,9.001290321350098,17.029000759124756
75,7.945230007171631,17.029000759124756
76,8.393709182739258,17.029000759124756
77,7.313485383987427,17.029000759124756
78,11.524111986160278,17.029000759124756
79,7.846267938613892,17.029000759124756
80,9.508769273757935,17.029000759124756
81,9.430872201919556,17.029000759124756
82,7.854877710342407,17.029000759124756
83,9.42057752609253,17.029000759124756
84,9.601310014724731,17.029000759124756
85,7.565267324447632,17.029000759124756
86,9.44465947151184,17.029000759124756
87,10.077564239501953,17.029000759124756
88,7.019391059875488,17.029000759124756
89,8.429089784622192,17.029000759124756
90,7.190913200378418,17.029000759124756
91,8.055754661560059,17.029000759124756
92,12.433870077133179,17.029000759124756
93,7.052191495895386,17.029000759124756
94,8.703361988067627,17.029000759124756
95,9.608840703964233,17.029000759124756
96,8.344637393951416,17.029000759124756
97,9.440569400787354,17.029000759124756
98,9.623608589172363,17.029000759124756
99,9.901324987411499,17.029000759124756
100,8.404944658279419,17.029000759124756
101,10.926846981048584,17.029000759124756
102,8.728604078292847,17.029000759124756
103,10.502680540084839,17.029000759124756
104,13.453883647918701,17.811269760131836
105,9.780818939208984,17.811269760131836
106,9.368802070617676,17.811269760131836
107,10.878101825714111,17.811269760131836
108,8.340782880783081,17.811269760131836
109,8.652980327606201,17.811269760131836
110,9.339247465133667,17.811269760131836
111,10.587174892425537,17.811269760131836
112,10.716652154922485,17.811269760131836
113,9.599174499511719,17.811269760131836
114,10.445502996444702,17.811269760131836
115,8.397558212280273,17.811269760131836
116,8.303736448287964,17.811269760131836
117,9.890386581420898,17.811269760131836
118,8.723183870315552,17.811269760131836
119,9.936301231384277,17.811269760131836
120,8.375018119812012,17.811269760131836
121,9.729795455932617,17.811269760131836
122,9.267928838729858,17.811269760131836
123,9.255515575408936,17.811269760131836
124,11.181902647018433,17.811269760131836
125,8.332719564437866,17.811269760131836
126,7.4544501304626465,17.811269760131836
127,10.262109279632568,17.811269760131836
128,8.864849328994751,17.811269760131836
129,11.079564094543457,17.811269760131836
130,11.536224842071533,17.811269760131836
131,11.110195398330688,17.811269760131836
132,13.707507133483887,19.92618703842163
133,12.357029676437378,19.92618703842163
134,8.398194074630737,19.92618703842163
135,9.026450395584106,19.92618703842163
136,10.077515602111816,19.92618703842163
137,8.83292841911316,19.92618703842163
138,11.575507879257202,19.92618703842163
139,7.74507474899292,19.92618703842163
140,6.276893615722656,19.92618703842163
