step,value
5,1.4943832397460937
10,1.4983975410461425
15,1.6821491241455078
20,1.452596378326416
25,1.6604028701782227
30,1.4600305557250977
35,1.5201580047607421
40,1.7860157012939453
45,1.5219527244567872
50,1.6744226455688476
55,1.763285255432129
60,1.740455436706543
65,1.5342865943908692
70,1.5064946174621583
75,1.9073709487915038
80,1.4265147209167481
85,1.6758842468261719
90,1.3735410690307617
95,1.3918068885803223
100,1.6746295928955077
105,1.4989508628845214
110,1.264616107940674
115,1.7515251159667968
120,1.5176423072814942
125,1.5459360122680663
130,1.5687996864318847
135,1.3822426795959473
140,1.4406539916992187
145,1.718378448486328
150,1.4955016136169434
155,1.6247297286987306
160,1.5486310958862304
165,1.7278501510620117
170,1.6233837127685546
175,1.648108673095703
180,1.3714515686035156
185,1.868916893005371
190,1.8116268157958983
195,1.564309310913086
200,1.4267237663269043
205,1.5077536582946778
210,1.5444838523864746
215,1.5399439811706543
220,1.5656001091003418
225,1.6263078689575194
230,1.6219532012939453
235,1.7310659408569335
240,1.6989051818847656
245,1.4916756629943848
250,1.6325811386108398
255,1.4822111129760742
260,1.9809967041015626
265,1.528813362121582
270,1.6097511291503905
275,1.6354652404785157
280,1.4673017501831054
285,1.6254928588867188
290,1.5873005867004395
295,1.5696456909179688
300,1.369540309906006
305,1.2425633430480958
310,1.6155181884765626
315,1.6329833984375
320,1.5655470848083497
325,1.4480236053466797
330,1.6796520233154297
335,1.5494969367980957
340,1.4577314376831054
345,1.5016800880432128
350,1.6460445404052735
355,1.7600711822509765
360,1.4995756149291992
365,1.5729126930236816
370,1.5028742790222167
375,1.4244832038879394
380,1.5458902359008788
